size, statements
1, 2
2, 11
3, 14
4, 20
5, 41
6, 41
7, 56
8, 77
9, 86
10, 122
11, 158
12, 194
13, 209
14, 203
15, 233
16, 329
17, 296
18, 377
19, 431
20, 389
21, 461
22, 518
23, 530
24, 509
25, 599
26, 728
27, 689
28, 737
29, 842
30, 842
31, 740
32, 863
33, 851
34, 938
35, 1040
36, 1214
37, 1136
38, 1325
39, 1295
40, 1142
41, 1328
42, 1412
43, 1787
44, 1403
45, 1718
46, 1787
47, 1877
48, 2156
49, 1784
50, 1907
51, 2156
52, 2192
53, 2408
54, 2714
55, 2429
56, 2651
57, 2384
58, 2840
59, 3008
60, 2843
61, 2666
62, 3653
63, 3761
64, 3431
65, 3062
66, 3446
67, 3848
68, 4037
69, 3701
70, 3611
71, 4469
72, 4394
73, 4508
74, 3641
75, 4391
76, 4505
77, 4358
78, 4844
79, 4964
80, 5855
81, 5501
82, 5630
83, 4964
84, 5891
85, 5765
86, 6446
87, 6125
88, 6515
89, 6563
90, 6161
91, 6635
92, 6752
93, 6860
94, 6971
95, 7544
96, 6998
97, 7262
98, 7169
99, 7580
100, 8543
