size, statements
1, 7
2, 20
3, 32
4, 60
5, 67
6, 107
7, 127
8, 170
9, 200
10, 261
11, 289
12, 356
13, 391
14, 476
15, 512
16, 606
17, 637
18, 752
19, 790
20, 920
21, 962
22, 1101
23, 1144
24, 1289
25, 1333
26, 1511
27, 1571
28, 1734
29, 1798
30, 1976
31, 2047
32, 2231
33, 2312
34, 2508
35, 2578
36, 2801
37, 2869
38, 3125
39, 3188
40, 3441
41, 3523
42, 3761
43, 3859
44, 4127
45, 4223
46, 4512
47, 4600
48, 4883
49, 4981
50, 5294
51, 5384
52, 5709
53, 5836
54, 6146
55, 6268
56, 6608
57, 6716
58, 7080
59, 7198
60, 7547
61, 7684
62, 8045
63, 8171
64, 8571
65, 8704
66, 9077
67, 9232
68, 9632
69, 9776
70, 10233
71, 10345
72, 10781
73, 10945
74, 11363
75, 11540
76, 12000
77, 12136
78, 12623
79, 12778
80, 13268
81, 13430
82, 13905
83, 14104
84, 14591
85, 14779
86, 15290
87, 15476
88, 16002
89, 16174
90, 16724
91, 16903
92, 17450
93, 17645
94, 18228
95, 18412
96, 18989
97, 19174
98, 19751
99, 19955
100, 20556
